key,T6_1_HB_H,T6_1_FA_H,flood_depth_m,flood_frac,m2_lo,m2_mid,m2_hi,dmg_lo,dmg_eur,dmg_hi
267079009,72,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
267079012,79,25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
267079007,86,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
267079001,3,193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
267079002,74,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
267079014,80,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
267079013,86,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
267079011,12,57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
267127007,51,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
267129005,74,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
267020011,134,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
267020005,132,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
267020004,94,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
267020010,74,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
267021005,2,72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
267021002,139,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
267021004/267026005,119,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
267021003,99,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
267069004,70,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
267044004,130,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
267044003,118,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
267044006,114,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
267044001,87,27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
267043001,81,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
267043006,79,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
267043004,42,36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
267043002,76,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
268127003,90,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
268127001,128,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
268127004,84,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
268127002,106,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
268127007,59,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
268127011,85,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
268127016,66,38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
268127010/03,30,88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
268127006,0,78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
268127015,48,62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
268127008,94,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
268127018,56,31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
268127017,32,37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
268127012,54,41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
268127009,12,77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
268136007,48,29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
268136009,28,33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
268136014,26,99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
268136002,64,41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
268136003,37,54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
268134009,34,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
268136015,47,33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
267044007,82,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
267042001,54,41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
267042004/267043001,85,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
267042003,97,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
267042002/02,100,90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
267042002/01,104,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
267045002,102,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
267045001,74,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
268135007,19,62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
268135001,45,41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
268135006,75,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
267081008,84,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
267081001,71,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
267044010,117,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
267081007,105,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
267081004,104,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
267081005,1,75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
267081003,139,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
