,importance
area,0.37564712396550826
storeys,0.3421536882392067
year,0.14374442390854156
masonry,0.02105135813728375
countyname_Co. Dublin,0.008319000377511761
countyname_Dublin 8,0.0071198470567431504
countyname_Dublin 4,0.005443077146660832
countyname_Dublin 1,0.0053137130452469775
countyname_Co. Galway,0.003995014261747677
countyname_Co. Mayo,0.0038213120504946973
countyname_Dublin 18,0.0037332421679242395
countyname_Dublin 7,0.0036956778149242696
countyname_Dublin 6,0.0035364746794943813
countyname_Co. Donegal,0.0035068380645210903
countyname_Dublin 12,0.003397711245311776
countyname_Dublin 9,0.003368360020232675
countyname_Dublin 15,0.0031488216881723633
countyname_Dublin 2,0.003067763341210621
countyname_Dublin 11,0.0028392955871477245
countyname_Dublin 24,0.0027584863652785735
countyname_Co. Wexford,0.002548538350137302
countyname_Co. Kerry,0.0024769350058731934
countyname_Co. Tipperary,0.0024400869906255397
countyname_Dublin 3,0.0021402251165748842
countyname_Cork City,0.002009184462902658
countyname_Co. Cork,0.001928507934604303
countyname_Dublin 22,0.0019006902514226089
countyname_Co. Kildare,0.0018955209390543138
countyname_Galway City,0.0017556263928237914
countyname_Co. Longford,0.0017325503119685174
countyname_Dublin 10,0.0016447831913644797
countyname_Co. Roscommon,0.001600921237863549
countyname_Dublin 16,0.0015663044413268175
countyname_Dublin 5,0.0015652402791637584
countyname_Co. Wicklow,0.0015068860991867613
countyname_Limerick City,0.001404731626034514
countyname_Co. Meath,0.0013860304399433106
countyname_Co. Limerick,0.0013385248211453319
countyname_Co. Clare,0.0013164376417124338
countyname_Co. Offaly,0.0013129672153120923
countyname_Dublin 13,0.001248423172080258
countyname_Co. Laois,0.0012112938325152544
countyname_Co. Waterford,0.0011913592226987751
countyname_Co. Louth,0.001188617319134106
countyname_Dublin 14,0.0011807189192386091
countyname_Co. Cavan,0.0010816128876945134
countyname_Dublin 6W,0.0010206707102936008
countyname_Co. Kilkenny,0.0009140890138708594
countyname_Waterford City,0.0008740114048975065
countyname_Co. Leitrim,0.0008557188891987019
countyname_Co. Westmeath,0.000854554274979493
countyname_Co. Carlow,0.0008350402026977154
countyname_Dublin 17,0.0008010075264047014
countyname_Co. Sligo,0.0007859467450446984
countyname_Co. Monaghan,0.0005927141409930539
countyname_Dublin 20,0.0002322998260549881
