canonical_type,depth_m,our_curve,band_lower,band_upper,pooled_avg,middlesex,jrc
Detached,0.0,0.0015,0.0,0.2018,0.0511,0.0025,0.0
Detached,0.25,0.0941,0.0735,0.3225,0.1897,0.0735,0.125
Detached,0.5,0.1559,0.0932,0.4754,0.3155,0.0932,0.25
Detached,0.75,0.1925,0.1041,0.5579,0.375,0.1041,0.325
Detached,1.0,0.2279,0.1132,0.6404,0.4341,0.1132,0.4
Detached,1.25,0.2526,0.121,0.6775,0.4703,0.121,0.45
Detached,1.5,0.2726,0.121,0.7146,0.5045,0.121,0.5
Detached,2.0,0.3126,0.121,0.7877,0.5732,0.121,0.6
Detached,2.5,0.3426,0.121,0.8583,0.6184,0.121,0.675
Detached,3.0,0.3726,0.121,0.9288,0.6635,0.121,0.75
Bungalow,0.0,0.0022,0.0,0.2018,0.0513,0.0036,0.0
Bungalow,0.25,0.1134,0.1056,0.3225,0.1977,0.1056,0.125
Bungalow,0.5,0.1798,0.133,0.4754,0.3254,0.133,0.25
Bungalow,0.75,0.2195,0.1492,0.5579,0.3863,0.1492,0.325
Bungalow,1.0,0.2576,0.1627,0.6404,0.4465,0.1627,0.4
Bungalow,1.25,0.2849,0.1748,0.6775,0.4837,0.1748,0.45
Bungalow,1.5,0.3049,0.1748,0.7146,0.518,0.1748,0.5
Bungalow,2.0,0.3449,0.1748,0.7877,0.5866,0.1748,0.6
Bungalow,2.5,0.3749,0.1748,0.8583,0.6318,0.1748,0.675
Bungalow,3.0,0.4049,0.1748,0.9288,0.677,0.1748,0.75
Semi-Detached,0.0,0.0032,0.0,0.2018,0.0518,0.0054,0.0
Semi-Detached,0.25,0.096,0.0766,0.3225,0.1905,0.0766,0.125
Semi-Detached,0.5,0.1586,0.0976,0.4754,0.3166,0.0976,0.25
Semi-Detached,0.75,0.1951,0.1085,0.5579,0.3761,0.1085,0.325
Semi-Detached,1.0,0.2302,0.117,0.6404,0.435,0.117,0.4
Semi-Detached,1.25,0.2552,0.1253,0.6775,0.4713,0.1253,0.45
Semi-Detached,1.5,0.2752,0.1253,0.7146,0.5056,0.1253,0.5
Semi-Detached,2.0,0.3152,0.1253,0.7877,0.5743,0.1253,0.6
Semi-Detached,2.5,0.3452,0.1253,0.8583,0.6195,0.1253,0.675
Semi-Detached,3.0,0.3752,0.1253,0.9288,0.6646,0.1253,0.75
Terrace,0.0,0.003,0.0,0.2018,0.0517,0.005,0.0
Terrace,0.25,0.0946,0.0743,0.3225,0.1899,0.0743,0.125
Terrace,0.5,0.1568,0.0947,0.4754,0.3159,0.0947,0.25
Terrace,0.75,0.1932,0.1053,0.5579,0.3753,0.1053,0.325
Terrace,1.0,0.228,0.1133,0.6404,0.4341,0.1133,0.4
Terrace,1.25,0.2526,0.121,0.6775,0.4703,0.121,0.45
Terrace,1.5,0.2726,0.121,0.7146,0.5045,0.121,0.5
Terrace,2.0,0.3126,0.121,0.7877,0.5732,0.121,0.6
Terrace,2.5,0.3426,0.121,0.8583,0.6184,0.121,0.675
Terrace,3.0,0.3726,0.121,0.9288,0.6635,0.121,0.75
Apartment,0.0,0.0017,0.0,0.2018,0.0512,0.0029,0.0
Apartment,0.25,0.0914,0.069,0.3225,0.1885,0.069,0.125
Apartment,0.5,0.1531,0.0885,0.4754,0.3143,0.0885,0.25
Apartment,0.75,0.1892,0.0987,0.5579,0.3737,0.0987,0.325
Apartment,1.0,0.2234,0.1056,0.6404,0.4322,0.1056,0.4
Apartment,1.25,0.247,0.1117,0.6775,0.4679,0.1117,0.45
Apartment,1.5,0.267,0.1117,0.7146,0.5022,0.1117,0.5
Apartment,2.0,0.307,0.1117,0.7877,0.5708,0.1117,0.6
Apartment,2.5,0.337,0.1117,0.8583,0.616,0.1117,0.675
Apartment,3.0,0.367,0.1117,0.9288,0.6612,0.1117,0.75
