countyname,canonical,n,median_floor_area_m2,pct_masonry,pct_pre1945
Co. Carlow,Apartment,1546,68.38,55.04527813712807,12.871927554980594
Co. Carlow,Bungalow,2542,117.395,75.21636506687648,16.168371361132966
Co. Carlow,Detached,4456,174.95,74.12477558348294,14.85637342908438
Co. Carlow,Semi-Detached,5549,102.2,62.53378987204902,5.58659217877095
Co. Carlow,Terrace,3307,86.09,62.01995766555791,14.454188085878439
Co. Cavan,Apartment,1682,65.885,52.437574316290124,17.00356718192628
Co. Cavan,Bungalow,3346,113.38,78.03347280334728,14.554692169754931
Co. Cavan,Detached,7336,188.31,71.68756815703381,13.672300981461285
Co. Cavan,Semi-Detached,4953,102.8,67.53482737734706,3.7149202503533214
Co. Cavan,Terrace,2339,87.2,65.71184266780675,16.631038905515176
Co. Clare,Apartment,3224,70.08,65.32258064516128,8.188585607940446
Co. Clare,Bungalow,5410,116.185,84.84288354898337,21.866913123844732
Co. Clare,Detached,11326,181.53,81.29083524633587,13.208546706692568
Co. Clare,Semi-Detached,7806,106.935,72.49551626953625,4.765564950038432
Co. Clare,Terrace,5243,86.98,75.43391188251002,13.370207896242608
Co. Cork,Apartment,16454,68.2,54.442688707912964,14.877841254406224
Co. Cork,Bungalow,16834,119.1,76.82071997148627,11.993584412498514
Co. Cork,Detached,36447,178.99,72.01690125387549,17.15641890964963
Co. Cork,Semi-Detached,36066,108.22,61.06305107303277,6.640603338324183
Co. Cork,Terrace,29961,88.41,65.54854644371015,21.92850705917693
Co. Donegal,Apartment,3947,65.49,70.91461869774513,8.538130225487713
Co. Donegal,Bungalow,9104,105.24000000000001,89.37829525483303,15.048330404217927
Co. Donegal,Detached,15596,182.38,86.25288535521929,10.220569376763272
Co. Donegal,Semi-Detached,9667,101.6,84.63846074273302,5.554980862728871
Co. Donegal,Terrace,4191,85.4,85.32569792412312,20.85421140539251
Co. Dublin,Apartment,30913,75.2,38.01313363309934,3.147543104842623
Co. Dublin,Bungalow,3272,120.38499999999999,55.53178484107579,16.931540342298288
Co. Dublin,Detached,14544,178.20999999999998,51.966446644664465,8.353960396039604
Co. Dublin,Semi-Detached,34860,117.24,51.25071715433162,6.210556511761331
Co. Dublin,Terrace,28449,100.94,48.356708495904954,7.856163661288622
Co. Galway,Apartment,5275,70.47,72.47393364928911,6.99526066350711
Co. Galway,Bungalow,11130,117.46000000000001,84.57322551662175,12.83917340521114
Co. Galway,Detached,20539,192.38,82.10721067237937,12.13788402551244
Co. Galway,Semi-Detached,10007,109.42,78.54501848705905,4.926551414010192
Co. Galway,Terrace,4863,92.56,72.074850915073,12.646514497223935
Co. Kerry,Apartment,3917,71.77,66.17309165177431,10.211896859841715
Co. Kerry,Bungalow,9460,117.185,85.78224101479915,9.619450317124736
Co. Kerry,Detached,14253,179.9,83.06321476180453,14.628499263312985
Co. Kerry,Semi-Detached,9567,102.75,81.78112260896833,4.463259119891292
Co. Kerry,Terrace,5321,90.78,78.91373801916933,20.823153542567184
Co. Kildare,Apartment,10251,71.0,37.596332065164376,2.994829772705102
Co. Kildare,Bungalow,6832,130.76,62.163348946135834,11.958430913348945
Co. Kildare,Detached,12442,179.95,53.73734126346247,5.561806783475325
Co. Kildare,Semi-Detached,26736,113.48,47.83438061041292,2.5508677438659486
Co. Kildare,Terrace,11531,96.93,47.15115774867748,5.19469256786055
Co. Kilkenny,Apartment,2291,72.74,55.69620253164557,10.999563509384549
Co. Kilkenny,Bungalow,3719,121.06,78.4081742403872,13.68647485883302
Co. Kilkenny,Detached,7063,193.17,72.05153617443013,16.735098400113266
Co. Kilkenny,Semi-Detached,5489,101.58,60.95828019675715,6.3035161231554016
Co. Kilkenny,Terrace,4548,89.88,62.598944591029024,19.217238346525946
Co. Laois,Apartment,2029,72.17,39.47757516017742,9.857072449482503
Co. Laois,Bungalow,3684,119.315,77.0629750271444,15.119435396308361
