source,canonical_type,metric,depth_m,damage_ratio
Middlesex_D20,Detached,value_ratio,0.0,0.0025
Middlesex_D20,Detached,value_ratio,0.25,0.0735
Middlesex_D20,Detached,value_ratio,0.5,0.0932
Middlesex_D20,Detached,value_ratio,0.75,0.1041
Middlesex_D20,Detached,value_ratio,1.0,0.1132
Middlesex_D20,Detached,value_ratio,1.25,0.121
Middlesex_D20,Detached,value_ratio,1.5,0.121
Middlesex_D20,Detached,value_ratio,2.0,0.121
Middlesex_D20,Detached,value_ratio,2.5,0.121
Middlesex_D20,Detached,value_ratio,3.0,0.121
Middlesex_D20,Semi-Detached,value_ratio,0.0,0.0054
Middlesex_D20,Semi-Detached,value_ratio,0.25,0.0766
Middlesex_D20,Semi-Detached,value_ratio,0.5,0.0976
Middlesex_D20,Semi-Detached,value_ratio,0.75,0.1085
Middlesex_D20,Semi-Detached,value_ratio,1.0,0.117
Middlesex_D20,Semi-Detached,value_ratio,1.25,0.1253
Middlesex_D20,Semi-Detached,value_ratio,1.5,0.1253
Middlesex_D20,Semi-Detached,value_ratio,2.0,0.1253
Middlesex_D20,Semi-Detached,value_ratio,2.5,0.1253
Middlesex_D20,Semi-Detached,value_ratio,3.0,0.1253
Middlesex_D20,Terrace,value_ratio,0.0,0.005
Middlesex_D20,Terrace,value_ratio,0.25,0.0743
Middlesex_D20,Terrace,value_ratio,0.5,0.0947
Middlesex_D20,Terrace,value_ratio,0.75,0.1053
Middlesex_D20,Terrace,value_ratio,1.0,0.1133
Middlesex_D20,Terrace,value_ratio,1.25,0.121
Middlesex_D20,Terrace,value_ratio,1.5,0.121
Middlesex_D20,Terrace,value_ratio,2.0,0.121
Middlesex_D20,Terrace,value_ratio,2.5,0.121
Middlesex_D20,Terrace,value_ratio,3.0,0.121
Middlesex_D20,Bungalow,value_ratio,0.0,0.0036
Middlesex_D20,Bungalow,value_ratio,0.25,0.1056
Middlesex_D20,Bungalow,value_ratio,0.5,0.133
Middlesex_D20,Bungalow,value_ratio,0.75,0.1492
Middlesex_D20,Bungalow,value_ratio,1.0,0.1627
Middlesex_D20,Bungalow,value_ratio,1.25,0.1748
Middlesex_D20,Bungalow,value_ratio,1.5,0.1748
Middlesex_D20,Bungalow,value_ratio,2.0,0.1748
Middlesex_D20,Bungalow,value_ratio,2.5,0.1748
Middlesex_D20,Bungalow,value_ratio,3.0,0.1748
Middlesex_D20,Apartment,value_ratio,0.0,0.0029
Middlesex_D20,Apartment,value_ratio,0.25,0.069
