iter	RMSE
0	0.2811712527
1	0.2741466635
2	0.2675594519
3	0.261492057
4	0.2559059421
5	0.2507572104
6	0.2459662177
7	0.2417194971
8	0.2376672067
9	0.2340257066
10	0.2305958234
11	0.2275080053
12	0.2245875824
13	0.2219182915
14	0.2195111017
15	0.2173137159
16	0.2153192854
17	0.2134893271
18	0.2118362375
19	0.2102897278
20	0.2089126079
21	0.2076646764
22	0.2065382152
23	0.205487756
24	0.2045212649
25	0.2036463649
26	0.2028609148
27	0.2021511411
28	0.2015218981
29	0.2009382568
30	0.2004144866
31	0.1999337632
32	0.1994878071
33	0.1990894808
34	0.1987230799
35	0.1983945075
36	0.1980915102
37	0.1978269607
38	0.1975865203
39	0.1973549132
40	0.1971639276
41	0.1969713625
42	0.1967956863
43	0.1966500192
44	0.1964888979
45	0.1963472535
46	0.1962227279
47	0.1961138805
48	0.1960097773
49	0.1959183762
50	0.1958146369
51	0.1957397082
52	0.1956592373
53	0.1955926272
54	0.1955356262
55	0.195483481
56	0.1954223091
57	0.1953580673
58	0.1953257183
59	0.1952852709
60	0.1952253545
61	0.1951910112
62	0.1951435891
63	0.1951046448
64	0.1950592653
65	0.1950220909
66	0.1949946742
67	0.1949498709
68	0.1949288841
69	0.1949040589
70	0.1948916705
71	0.1948799791
72	0.1948561194
73	0.1948122344
74	0.1947711731
75	0.194733112
76	0.1947233256
77	0.1947007954
78	0.1946638998
79	0.1946237976
80	0.1946195125
81	0.1945876325
82	0.1945476205
83	0.1945431163
84	0.1944760247
85	0.1944308844
86	0.1943990727
87	0.1943841755
88	0.1943389493
89	0.1943208589
90	0.1942804348
91	0.1942375156
92	0.1942135943
93	0.1941757915
94	0.1941454126
95	0.1940948073
96	0.1940921833
97	0.194040596
98	0.194023092
99	0.1939780895
100	0.1939697847
101	0.1939462663
102	0.1938935062
103	0.1938800612
104	0.1938512902
105	0.1938240325
106	0.1938209325
107	0.1937966472
108	0.1937768416
109	0.1937413772
110	0.1937101918
111	0.1936995507
112	0.1936813188
113	0.1936433347
114	0.1936384669
115	0.1936224748
116	0.193600103
117	0.1935526537
118	0.1935175702
119	0.1934669627
120	0.1934514839
121	0.1934499292
122	0.1933897373
123	0.1933499399
124	0.1933271217
125	0.1933251091
126	0.1932676327
127	0.1932270638
128	0.1931873428
129	0.1931858618
130	0.1931806099
131	0.1931624986
132	0.1931408939
133	0.1931384769
134	0.1931110194
135	0.1930630102
136	0.1930117455
137	0.193010301
138	0.1929928405
139	0.19298138
140	0.1929499501
141	0.1929265858
142	0.1929143879
143	0.1928979595
144	0.1928616759
145	0.1928406669
146	0.1928351563
147	0.1928077339
148	0.1928046978
149	0.1927775976
150	0.192744889
151	0.1927303076
152	0.1926975059
153	0.1926465124
154	0.1926085296
155	0.1926066462
156	0.192568003
157	0.1925567523
158	0.1925211226
159	0.1924753507
160	0.1924693892
161	0.1924462659
162	0.1924289983
163	0.1924285678
164	0.1924129438
165	0.1924010674
166	0.1923889638
167	0.1923499901
168	0.1923127365
169	0.1922807408
170	0.1922467961
171	0.1922169772
172	0.1921759866
173	0.1921506931
174	0.1921290031
175	0.1921140371
176	0.1920921797
177	0.192065654
178	0.1920453629
179	0.192043336
180	0.1919976784
181	0.1919593316
182	0.1919498631
183	0.1919281537
184	0.1919119152
185	0.1918825469
186	0.1918342812
187	0.1918235181
188	0.1918066103
189	0.1917909544
190	0.1917718616
191	0.1917306806
192	0.1917148611
193	0.1916994214
194	0.191668055
195	0.1916494679
196	0.1916038857
197	0.1915891224
198	0.1915788395
199	0.1915613816
200	0.1915160186
201	0.1914925538
202	0.1914698464
203	0.1914555518
204	0.1914250205
205	0.1913699401
206	0.1913582896
207	0.1913378841
208	0.191310889
209	0.1912930646
210	0.1912677903
211	0.1912288987
212	0.1911746022
213	0.1911406444
214	0.1911059964
215	0.1910642148
216	0.1910319269
217	0.1910098874
218	0.190986725
219	0.1909704722
220	0.1909286213
221	0.1908758447
222	0.1908529339
223	0.1908211873
224	0.1907793266
225	0.1907678608
226	0.1907525802
227	0.1907145029
228	0.1906756153
229	0.1906607275
230	0.1906346587
231	0.1905951789
232	0.1905547151
233	0.1905159176
234	0.1904935681
235	0.1904568873
236	0.190420405
237	0.1903788938
238	0.1903434386
239	0.1903090139
240	0.1902739815
241	0.1902565377
242	0.1902358452
243	0.190221611
244	0.1901928755
245	0.1901542378
246	0.1901134506
247	0.1900800917
248	0.1900680137
249	0.1900487213
250	0.1900186981
251	0.1899766692
252	0.1899576119
253	0.1899278137
254	0.1898984849
255	0.1898753407
256	0.1898633438
257	0.1898361002
258	0.1898210927
259	0.1897822179
260	0.1897528255
261	0.189728942
262	0.1897046763
263	0.1896622203
264	0.1896327204
265	0.1896142322
266	0.1895719932
267	0.1895540375
268	0.1895259943
269	0.1895022232
270	0.1894760955
271	0.1894495602
272	0.1893969808
273	0.1893629912
274	0.1893471324
275	0.1893173432
276	0.1892817234
277	0.1892452196
278	0.1892110507
279	0.1891798847
280	0.1891484652
281	0.1891089212
282	0.1890964643
283	0.1890617408
284	0.1890291464
285	0.1890039819
286	0.1889917141
287	0.1889638218
288	0.1889191651
289	0.1888714124
290	0.1888458108
291	0.1888282304
292	0.1887933546
293	0.1887572333
294	0.1887449946
295	0.1887158098
296	0.1886802613
297	0.1886567804
298	0.1886243834
299	0.1885731162
300	0.1885437048
301	0.1885047064
302	0.1884666846
303	0.1884237127
304	0.1884016895
305	0.1883542062
306	0.1883128294
307	0.1882767704
308	0.1882455895
309	0.1882180233
310	0.1881866806
311	0.1881491342
312	0.1881044521
313	0.1880725548
314	0.1880464314
315	0.1880225103
316	0.1879868544
317	0.1879649655
318	0.1879337143
319	0.1879057248
320	0.1878769554
321	0.1878509665
322	0.1878218295
323	0.1878009206
324	0.1877745516
325	0.1877431806
326	0.187711745
327	0.1876667046
328	0.1876267296
329	0.1876018913
330	0.1875916535
331	0.1875527895
332	0.1875199862
333	0.1874836377
334	0.1874750859
335	0.1874307141
336	0.1874114955
337	0.1873856501
338	0.1873618485
339	0.1873411495
340	0.187319976
341	0.1872938993
342	0.1872796269
343	0.1872397885
344	0.1872037443
345	0.1871707174
346	0.1871461401
347	0.1871099559
348	0.1870873862
349	0.1870610607
350	0.1870207833
351	0.1869936243
352	0.1869674892
353	0.186956512
354	0.1869235302
355	0.1869107405
356	0.186873384
357	0.1868398783
358	0.1868159572
359	0.1867970604
360	0.1867631789
361	0.1867483285
362	0.186712924
363	0.1866833806
364	0.1866512175
365	0.1866384057
366	0.1866131588
367	0.1865877721
368	0.1865550041
369	0.1865076814
370	0.1864852073
371	0.1864662117
372	0.1864431438
373	0.1864296129
374	0.186423477
375	0.1863849685
376	0.1863737722
377	0.1863318124
378	0.1863178889
379	0.1862792765
380	0.186236391
381	0.1862020551
382	0.1861748015
383	0.1861478588
384	0.1861226669
385	0.1860681604
386	0.186038905
387	0.1860194346
388	0.1860106831
389	0.1859708306
390	0.1859519075
391	0.18592439
392	0.185892681
393	0.1858744983
394	0.1858526941
395	0.1858134588
396	0.1857881461
397	0.1857391287
398	0.1857100867
399	0.1856758244
