iter	Passed	Remaining
0	9	3621
1	17	3551
2	25	3331
3	33	3353
4	42	3356
5	48	3153
6	56	3171
7	64	3138
8	71	3099
9	80	3120
10	88	3132
11	94	3047
12	101	3021
13	109	3005
14	117	3011
15	123	2959
16	131	2966
17	138	2941
18	146	2941
19	153	2908
20	161	2908
21	168	2899
22	176	2894
23	184	2884
24	191	2873
25	199	2867
26	206	2854
27	213	2838
28	221	2828
29	228	2820
30	236	2812
31	242	2786
32	248	2766
33	254	2739
34	260	2715
35	267	2702
36	273	2683
37	278	2652
38	283	2627
39	290	2611
40	294	2577
41	300	2562
42	306	2543
43	311	2521
44	317	2504
45	322	2484
46	329	2474
47	333	2446
48	339	2435
49	345	2420
50	350	2399
51	356	2385
52	362	2376
53	368	2360
54	374	2347
55	379	2329
56	385	2318
57	391	2305
58	394	2277
59	399	2266
60	405	2251
61	410	2236
62	416	2230
63	423	2221
64	428	2207
65	434	2200
66	441	2193
67	447	2186
68	454	2179
69	459	2165
70	462	2143
71	465	2120
72	471	2111
73	476	2100
74	482	2092
75	489	2086
76	493	2070
77	501	2068
78	506	2058
79	513	2052
80	515	2029
81	521	2023
82	527	2014
83	531	1999
84	538	1994
85	544	1989
86	551	1985
87	558	1979
88	565	1976
89	571	1969
90	578	1962
91	584	1955
92	590	1947
93	597	1943
94	604	1940
95	610	1932
96	614	1918
97	620	1913
98	627	1908
99	634	1903
100	638	1890
101	645	1886
102	652	1881
103	662	1884
104	669	1879
105	674	1871
106	679	1861
107	684	1851
108	690	1843
109	698	1840
110	705	1835
111	710	1826
112	716	1820
113	722	1812
114	728	1805
115	735	1799
116	742	1796
117	750	1792
118	757	1788
119	763	1782
120	769	1774
121	773	1762
122	780	1757
123	787	1753
124	794	1746
125	797	1734
126	803	1727
127	809	1720
128	816	1716
129	821	1705
130	828	1701
131	834	1694
132	840	1687
133	846	1680
134	854	1677
135	861	1672
136	868	1666
137	871	1655
138	878	1649
139	885	1644
140	892	1639
141	900	1635
142	907	1630
143	914	1625
